"player","team_within_selected_timeframe","pos1","minutes_played","prog_run_percentile","shot_percentile","prog_pass_percentile","prog_run","shot","prog_pass"
"E. Visca","Trabzonspor","RW",3213,25.93,82.41,95.37,0,1,1
"L. Kappel","Altay","RW",3117,73.15,35.19,21.3,1,0,0
"K. Aktürkoðlu","Galatasaray","LW",3115,79.63,79.63,52.78,1,1,0
"Z. Bytyqi","Konyaspor","LAMF",3100,86.11,44.44,65.74,1,0,1
"R. Ghezzal","Beþiktaþ","RW",3023,84.26,69.44,98.15,1,1,1
"E. Karaca","Alanyaspor","RAMF",2973,9.26,19.44,37.96,0,0,0
"Serginho","Giresunspor","LAMF",2921,30.56,16.67,58.33,0,0,0
"M. Eskihellaç","Yeni Malatyaspor","RW",2846,30.56,9.26,58.33,0,0,0
"M. Gradel","Sivasspor","LW",2769,99.07,63.89,67.59,1,1,1
"Y. Akgün","Adana Demirspor","RW",2767,96.3,75.93,12.96,1,1,0
"H. Akbunar","Göztepe","RW",2733,21.3,35.19,62.04,0,0,1
"M. Vargas","Adana Demirspor","LAMF",2700,60.19,38.89,76.85,1,0,1
"S. Lobjanidze","Hatayspor","RW",2616,53.7,31.48,11.11,0,0,0
"A. El Kaabi","Hatayspor","LW",2611,1.85,87.96,1.85,0,1,0
"D. Sinik","Antalyaspor","LAMF",2430,89.81,81.48,19.44,1,1,0
"A. Nwakaeme","Trabzonspor","LAMF",2428,80.56,96.3,89.81,1,1,1
"A. Ömür","Trabzonspor","RAMF",2356,47.22,33.33,29.63,0,0,0
"M. Rodríguez","Altay","LW",2286,87.96,23.15,73.15,1,0,1
"M. Chouiar","Yeni Malatyaspor","LW",2253,97.22,20.37,38.89,1,0,0
"M. Thiam","Kayserispor","LW",2207,27.78,60.19,41.67,0,1,0
"M. Suleymanov","Giresunspor","RAMF",2147,62.96,71.3,17.59,1,1,0
"D. Rossi","Fenerbahçe","LAMF",2133,83.33,57.41,25.93,1,0,0
"S. Gürler","Ýstanbul Baþakþehir","RW",2100,76.85,40.74,71.3,1,0,1
"Fernando Boldrin","Rizespor","RAMF",2077,24.07,17.59,51.85,0,0,0
"E. Baþsan","Kayserispor","RW",2076,52.78,49.07,60.19,0,0,1
"D. Türüç","Ýstanbul Baþakþehir","RW",2070,33.33,45.37,73.15,0,0,1
"Pedro Henrique","Sivasspor","RW",1991,68.52,75,34.26,1,1,0
"Y. Erdoðan","Trabzonspor","RAMF",1949,36.11,85.19,70.37,0,1,1
"C. Larin","Beþiktaþ","LW",1923,5.56,84.26,3.7,0,1,0
"T. Boyd","Rizespor","RAMF",1917,17.59,18.52,43.52,0,0,0
"A. Musa","Fatih Karagümrük","RW",1883,12.96,67.59,11.11,0,1,0
"E. Mor","Fatih Karagümrük","RW",1841,95.37,85.19,14.81,1,1,0
